edad,c220-c249m,c340-c349m,c500-c509m,c530-c55Xm,c900-c959Xm,grupo
0,19,4,6,1,90,Primera Infancia (0-5 años)
1,41,5,1,1,156,Primera Infancia (0-5 años)
2,40,1,1,3,197,Primera Infancia (0-5 años)
3,27,4,1,5,253,Primera Infancia (0-5 años)
4,21,3,2,6,255,Primera Infancia (0-5 años)
5,10,5,1,8,307,Infancia (6 - 11 años)
6,8,1,10,18,267,Infancia (6 - 11 años)
7,9,2,11,24,256,Infancia (6 - 11 años)
8,7,4,17,24,259,Infancia (6 - 11 años)
9,12,1,24,40,260,Infancia (6 - 11 años)
10,3,1,23,56,242,Infancia (6 - 11 años)
11,3,3,39,67,261,Infancia (6 - 11 años)
12,4,4,62,97,298,Adolescencia (12 - 18 años)
13,8,5,61,112,293,Adolescencia (12 - 18 años)
14,9,3,82,129,325,Adolescencia (12 - 18 años)
15,13,5,107,135,354,Adolescencia (12 - 18 años)
16,12,8,108,160,351,Adolescencia (12 - 18 años)
17,11,4,157,198,363,Adolescencia (12 - 18 años)
18,9,12,172,250,387,Adolescencia (12 - 18 años)
19,15,13,194,258,348,Adulto Joven (19 - 26 años)
20,18,13,240,244,309,Adulto Joven (19 - 26 años)
21,14,21,242,266,334,Adulto Joven (19 - 26 años)
22,14,16,354,291,289,Adulto Joven (19 - 26 años)
23,18,20,362,337,267,Adulto Joven (19 - 26 años)
24,22,26,394,334,259,Adulto Joven (19 - 26 años)
25,22,27,458,393,256,Adulto Joven (19 - 26 años)
26,13,20,470,410,211,Adulto Joven (19 - 26 años)
27,19,32,575,444,219,Adultez (27- 59 años)
28,26,22,584,413,193,Adultez (27- 59 años)
29,23,35,646,502,199,Adultez (27- 59 años)
30,26,47,671,490,183,Adultez (27- 59 años)
31,30,38,664,515,207,Adultez (27- 59 años)
32,52,54,693,513,182,Adultez (27- 59 años)
33,41,56,814,509,197,Adultez (27- 59 años)
34,46,59,753,570,221,Adultez (27- 59 años)
35,45,59,782,578,195,Adultez (27- 59 años)
36,65,67,861,550,194,Adultez (27- 59 años)
37,66,88,853,599,197,Adultez (27- 59 años)
38,92,73,927,560,199,Adultez (27- 59 años)
39,88,108,896,642,211,Adultez (27- 59 años)
40,104,116,876,624,200,Adultez (27- 59 años)
41,126,132,926,594,212,Adultez (27- 59 años)
