edad,edad_agru
0,1
3,2
5,2
6,1
7,1
11,1
12,1
13,2
14,1
15,2
16,1
17,3
19,2
20,2
21,3
22,8
23,2
24,2
25,11
26,3
27,3
28,3
29,2
30,5
31,9
32,11
33,9
34,14
35,12
36,12
37,15
38,16
39,20
40,20
41,22
42,19
43,34
44,33
45,36
46,41
47,48
48,38
49,57
50,57
51,51
52,51
53,70
54,89
55,86
56,92
57,109
58,119
59,98
60,147
61,141
62,157
63,141
64,175
65,185
66,185
67,199
68,189
69,196
70,225
71,209
72,233
73,215
74,240
75,237
76,226
77,221
78,193
79,226
80,192
81,183
82,177
83,149
84,161
85,141
86,87
87,101
88,80
89,81
90,45
91,48
92,38
93,28
94,24
95,10
96,5
97,8
98,3
99,5
101,1
102,1
103,1
