edad,edad_agru
1,1
10,1
11,1
12,1
13,2
14,1
16,1
18,2
19,1
20,2
25,1
26,1
33,1
40,1
46,1
51,1
52,1
53,2
54,1
56,2
58,1
6,2
60,2
61,1
62,1
64,1
65,2
66,1
68,2
69,2
7,2
71,2
73,1
74,2
75,1
80,1
81,1
82,2
86,2
87,1
9,1
90,1
91,1
93,1
0,20
1,33
10,45
100,2
101,1
102,2
11,45
12,64
13,61
14,74
15,69
16,60
17,76
18,81
19,66
2,46
20,55
21,71
22,70
23,58
24,55
25,45
26,45
27,41
28,35
29,47
3,58
30,34
31,54
32,30
33,41
34,48
35,47
36,31
37,31
38,40
39,49
4,62
40,40
41,47
42,41
43,45
44,39
45,36
46,53
47,45
48,46
49,55
5,58
50,49
51,52
52,38
53,39
54,42
55,40
56,49
57,49
58,41
59,37
6,58
60,43
61,54
62,51
63,47
64,41
65,47
66,47
67,60
68,46
69,54
7,55
70,53
71,54
72,47
73,42
74,64
75,49
76,57
77,43
78,42
79,45
8,52
80,51
81,41
82,47
83,35
84,34
85,29
86,32
87,21
88,11
89,27
9,48
90,18
91,9
92,9
93,8
94,5
95,6
96,2
97,1
98,1
99,2
0,17
1,32
2,45
3,54
4,60
5,65
6,51
7,55
8,61
9,49
10,42
11,55
12,50
13,60
14,65
15,62
16,73
17,69
18,83
19,69
20,62
21,65
22,55
23,49
24,42
25,46
26,40
27,25
28,27
29,33
30,39
31,36
32,33
33,32
34,42
35,33
36,36
37,44
38,43
39,43
40,37
41,40
42,43
43,46
44,51
45,44
46,45
47,58
48,43
49,44
50,49
51,38
52,47
53,45
54,64
55,55
56,37
57,52
58,51
59,47
60,50
61,32
62,46
63,45
64,58
65,54
66,51
67,45
68,56
69,47
70,55
71,56
72,38
73,61
74,55
75,49
76,54
77,45
78,44
79,61
80,43
81,37
82,37
83,45
84,20
85,45
86,34
87,23
88,20
89,22
90,13
91,11
92,14
93,16
94,3
95,7
96,3
98,1
100,1
102,1
0,15
1,25
2,38
3,48
4,45
5,62
6,56
7,52
8,50
9,55
10,41
11,47
12,47
13,68
14,60
15,69
16,68
17,69
18,76
19,76
20,58
21,65
22,54
23,37
24,60
25,56
26,33
27,42
28,38
29,45
30,43
31,36
32,37
33,44
34,43
35,38
36,45
37,43
38,42
39,46
40,40
41,41
42,41
43,41
44,48
45,47
46,43
47,62
48,41
49,51
50,55
51,40
52,52
53,47
54,38
55,49
56,68
57,59
58,48
59,52
60,53
61,41
62,59
63,50
64,64
65,42
66,60
67,59
68,50
69,56
70,51
71,54
72,50
73,56
74,58
75,50
76,61
77,66
78,52
79,47
80,44
81,52
82,38
83,45
84,37
85,37
86,32
87,26
88,28
89,17
90,17
91,20
92,13
93,11
94,8
95,8
96,7
97,6
98,3
99,2
100,2
101,2
0,19
1,38
2,27
3,41
4,49
5,61
6,57
7,47
8,45
9,58
10,61
11,62
12,77
13,50
14,63
15,95
16,81
17,77
18,69
19,63
20,65
21,50
22,56
23,50
24,50
25,56
26,39
27,45
28,39
29,41
30,26
31,46
32,40
33,36
34,46
35,42
36,34
37,35
38,33
39,33
40,46
41,42
42,56
43,56
44,53
45,42
46,53
47,46
48,51
49,46
50,37
51,39
52,53
53,49
54,50
55,42
56,56
57,63
58,62
59,51
60,47
61,47
62,56
63,69
64,51
65,45
66,58
67,62
68,44
69,51
70,58
71,54
72,53
73,50
74,69
75,62
76,50
77,60
78,57
79,45
80,51
81,53
82,57
83,37
84,41
85,37
86,34
87,39
88,22
89,22
90,12
91,21
92,11
93,10
94,12
95,3
96,1
97,3
98,2
99,2
100,1
101,1
0,19
1,27
2,41
3,52
4,39
5,61
6,43
7,45
8,51
9,49
10,52
11,51
12,59
13,52
14,62
15,59
16,68
17,72
18,76
19,73
20,67
21,83
22,54
23,73
24,52
25,52
26,53
27,66
28,54
29,33
30,41
31,35
32,42
33,43
34,42
35,35
36,48
37,44
38,41
39,40
40,36
41,42
42,49
43,51
44,37
45,50
46,49
47,49
48,46
49,47
50,40
51,44
52,40
53,34
54,51
55,45
56,40
57,69
58,46
59,55
60,48
61,47
62,62
63,56
64,49
65,62
66,63
67,47
68,70
69,65
70,55
71,70
72,49
73,67
74,61
75,73
76,48
77,62
78,60
79,38
80,61
81,48
82,44
83,47
84,38
85,31
86,34
87,32
88,30
89,14
90,13
91,11
92,11
93,17
94,11
95,8
96,3
97,2
98,5
102,1
109,1
